station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Vaghai,20.76388889,73.50444444,0.005,0.004,0.025,0.02,0.001,0.014,0.521,1.716,0.294,0.111,0.017,0.306,0.014,0.003,0.631,0.028,0.01
Bhenskatri,20.76805556,73.54166667,0.018,0.001,0.029,0.016,0.001,0.027,1.718,3.582,0.411,0.14,0.064,0.128,0.014,0.006,0.706,0.032,0.01
Sari_khurd,20.7875,72.95416667,0.006,0.004,0.037,0.008,0.001,0.028,1.243,4.78,0.289,0.115,0.06,0.24,0.01,0.004,0.836,0.044,0.01
Kesariya1,20.79638889,70.94194444,0.016,0.003,0.041,0.019,0.001,0.025,0.854,3.132,0.391,0.113,0.015,0.205,0.007,0.001,0.621,0.033,0.01
Kantasvel,20.79722222,73.29166667,0.02,0.002,0.022,0.007,0.002,0.021,1.939,3.656,0.368,0.082,0.028,0.129,0.007,0.003,0.7,0.019,0.01
Kodinar,20.8,70.69166667,0.016,0.004,0.056,0.007,0.001,0.011,0.94,3.339,0.401,0.072,0.04,0.311,0.018,0.005,0.736,0.065,0.01
Kodinar1,20.8,70.69166667,0.01,0.004,0.066,0.014,0.001,0.028,0.681,1.12,0.422,0.091,0.068,0.366,0.009,0.007,0.723,0.054,0.01
Ghubita,20.8,73.7375,0.016,0.003,0.014,0.01,0.001,0.015,1.113,4.91,0.19,0.173,0.033,0.267,0.006,0.002,0.607,0.041,0.01
Nadak khadi,20.80416667,73.6125,0.011,0.003,0.059,0.012,0.002,0.019,0.574,3.74,0.251,0.169,0.022,0.397,0.007,0.002,0.805,0.012,0.01
Moti Valzar,20.805,73.26666667,0.01,0.004,0.065,0.012,0.001,0.025,0.531,2.013,0.147,0.064,0.038,0.127,0.015,0.004,0.723,0.055,0.01
Doldha,20.80666667,73.2275,0.007,0.002,0.027,0.014,0.001,0.014,0.84,1.522,0.423,0.098,0.011,0.398,0.018,0.003,0.795,0.03,0.01
Chinchnogaotha,20.80833333,73.55277778,0.007,0.003,0.05,0.013,0.001,0.011,0.789,2.039,0.321,0.061,0.06,0.289,0.008,0.006,0.808,0.055,0.01
Bori gaotha,20.81111111,73.50416667,0.014,0.002,0.042,0.016,0.001,0.024,1.427,1.457,0.392,0.085,0.045,0.293,0.007,0.002,0.687,0.067,0.01
Rankuva,20.8125,73.15833333,0.014,0.002,0.025,0.019,0.001,0.03,1.71,1.806,0.458,0.098,0.033,0.224,0.009,0.004,0.667,0.016,0.01
Dolasa,20.82083333,70.85833333,0.012,0.001,0.042,0.007,0.001,0.014,1.256,2.789,0.329,0.115,0.02,0.241,0.019,0.003,0.594,0.052,0.01
Una2,20.825,71.04166667,0.007,0.002,0.028,0.011,0.001,0.028,1.659,4.83,0.276,0.135,0.065,0.206,0.012,0.004,0.98,0.031,0.01
Duvada,20.82861111,73.0575,0.007,0.004,0.027,0.018,0.002,0.026,0.54,3.731,0.223,0.131,0.021,0.311,0.01,0.007,0.525,0.021,0.01
Chadav,20.83111111,73.33444444,0.009,0.003,0.035,0.019,0.002,0.022,1.437,2.357,0.175,0.099,0.027,0.185,0.008,0.001,0.547,0.027,0.01
Onjal,20.83333333,72.84166667,0.009,0.005,0.026,0.012,0.001,0.017,1.191,1.869,0.144,0.057,0.058,0.357,0.012,0.007,0.558,0.011,0.01
Onjal1,20.83333333,72.84166667,0.011,0.002,0.016,0.011,0.001,0.024,1.143,3.155,0.35,0.135,0.032,0.372,0.015,0.002,0.821,0.014,0.01
Vaheval,20.83722222,73.28777778,0.007,0.002,0.064,0.019,0.001,0.011,1.147,2.893,0.253,0.157,0.054,0.215,0.015,0.005,0.52,0.025,0.01
Unai,20.85,73.34166667,0.019,0.003,0.028,0.018,0.002,0.027,0.577,3.99,0.293,0.05,0.051,0.255,0.007,0.005,0.666,0.037,0.01
Prasli,20.85083333,70.66916667,0.005,0.002,0.067,0.006,0.002,0.017,1.238,2.737,0.182,0.179,0.017,0.121,0.01,0.005,0.872,0.025,0.01
Sametar,20.85416667,71.12083333,0.016,0.002,0.057,0.013,0.001,0.028,1.093,2.845,0.118,0.094,0.038,0.161,0.019,0.004,0.788,0.057,0.01
Abrama,20.8625,72.9,0.012,0.002,0.076,0.014,0.001,0.025,1.695,3.704,0.143,0.156,0.043,0.209,0.018,0.005,0.803,0.056,0.01
Jafrabad,20.86666667,71.3625,0.012,0.004,0.043,0.009,0.001,0.012,1.49,1.654,0.23,0.061,0.063,0.327,0.012,0.001,0.866,0.048,0.01
Sodmal,20.86666667,73.61666667,0.008,0.001,0.044,0.019,0.002,0.015,1.039,4.733,0.44,0.104,0.012,0.172,0.005,0.003,0.567,0.019,0.01
Bherai,20.86805556,71.3625,0.014,0.003,0.028,0.015,0.001,0.015,1.593,4.857,0.354,0.139,0.046,0.116,0.011,0.001,0.851,0.015,0.01
Kansari,20.87,71.05111111,0.011,0.004,0.021,0.012,0.001,0.018,0.518,3.888,0.161,0.068,0.037,0.26,0.009,0.001,0.611,0.015,0.01
Vazat Amba,20.87833333,73.51833333,0.015,0.001,0.031,0.008,0.001,0.019,1.948,4.789,0.489,0.169,0.036,0.167,0.012,0.005,0.672,0.017,0.01
Jargla Jargali,20.88083333,70.98416667,0.016,0.002,0.03,0.017,0.001,0.028,1.933,4.406,0.215,0.093,0.057,0.283,0.007,0.004,0.912,0.014,0.01
Dandi,20.89166667,72.80833333,0.011,0.001,0.025,0.008,0.002,0.011,1.783,3.657,0.25,0.193,0.015,0.164,0.006,0.007,0.606,0.024,0.01
Timbi2,20.89583333,71.20416667,0.009,0.004,0.075,0.014,0.001,0.02,1.815,3.156,0.39,0.166,0.015,0.334,0.017,0.005,0.868,0.018,0.01
Timbi,20.9,71.2,0.01,0.005,0.069,0.014,0.001,0.026,1.055,4.053,0.24,0.137,0.06,0.294,0.006,0.004,0.939,0.07,0.01
Ajotha,20.90194444,70.51805556,0.007,0.002,0.062,0.017,0.001,0.027,1.081,1.909,0.484,0.052,0.017,0.378,0.005,0.006,0.915,0.032,0.01
Kadiyali,20.90833333,71.36027778,0.009,0.003,0.029,0.009,0.001,0.022,1.978,2.304,0.146,0.053,0.04,0.193,0.007,0.001,0.615,0.046,0.01
Mahal,20.91666667,73.67916667,0.006,0.002,0.049,0.01,0.001,0.017,0.658,2.741,0.232,0.119,0.065,0.294,0.016,0.004,0.912,0.031,0.01
Kalibel,20.92083333,73.58055556,0.008,0.002,0.05,0.005,0.001,0.02,0.718,1.513,0.321,0.147,0.01,0.393,0.006,0.006,0.785,0.056,0.01
Subir,20.92222222,73.58055556,0.015,0.001,0.06,0.019,0.001,0.02,1.095,1.258,0.326,0.152,0.042,0.245,0.008,0.003,0.529,0.045,0.01
Girgadhada,20.925,70.91666667,0.02,0.004,0.045,0.006,0.002,0.03,1.631,4.71,0.481,0.169,0.054,0.192,0.007,0.002,0.726,0.042,0.01
Nageshri,20.925,71.35416667,0.019,0.004,0.058,0.014,0.001,0.019,0.723,1.386,0.237,0.137,0.033,0.305,0.02,0.001,0.808,0.048,0.01
Puna1,20.92916667,73.22916667,0.015,0.005,0.05,0.005,0.001,0.025,1.582,3.231,0.353,0.162,0.042,0.349,0.018,0.005,0.573,0.031,0.01
Eru,20.93638889,72.92638889,0.014,0.004,0.068,0.016,0.002,0.019,1.593,1.482,0.458,0.181,0.042,0.21,0.006,0.006,0.563,0.036,0.01
Govindpura2,20.94583333,70.39583333,0.02,0.004,0.069,0.013,0.001,0.011,1.906,3.887,0.306,0.079,0.061,0.145,0.005,0.005,0.594,0.06,0.01
Navsari,20.95,72.93333333,0.006,0.004,0.075,0.015,0.001,0.018,0.731,3.709,0.343,0.056,0.02,0.13,0.008,0.004,0.568,0.043,0.01
Bedchit,20.95,73.35138889,0.007,0.002,0.079,0.009,0.001,0.016,1.746,4.034,0.225,0.078,0.067,0.201,0.009,0.004,0.611,0.036,0.01
Navsari 1,20.95805556,72.935,0.018,0.002,0.075,0.019,0.002,0.024,1.625,4.27,0.415,0.126,0.069,0.123,0.016,0.004,0.779,0.059,0.01
Dhokadva,20.95833333,71.07083333,0.007,0.002,0.047,0.017,0.001,0.017,1.201,4.189,0.279,0.088,0.051,0.362,0.017,0.002,0.851,0.05,0.01
Lotpur,20.9625,71.43333333,0.018,0.004,0.014,0.017,0.001,0.026,0.515,2.702,0.249,0.13,0.058,0.188,0.011,0.003,0.694,0.068,0.01
Bardipada,20.96666667,73.64166667,0.007,0.003,0.014,0.018,0.002,0.01,0.786,4.453,0.453,0.135,0.047,0.305,0.011,0.007,0.7,0.024,0.01
Hinderana,20.97472222,71.41277778,0.006,0.002,0.02,0.01,0.002,0.016,0.576,2.75,0.414,0.103,0.027,0.25,0.016,0.007,0.965,0.027,0.01
Bhim Deval,20.9775,70.60916667,0.007,0.002,0.072,0.012,0.002,0.027,0.946,1.57,0.274,0.068,0.019,0.162,0.016,0.004,0.72,0.047,0.01
Moraj,20.98333333,70.43611111,0.017,0.001,0.069,0.006,0.002,0.014,1.745,2.558,0.131,0.124,0.027,0.184,0.014,0.003,0.54,0.019,0.01
Jamvala1,20.98333333,70.7625,0.009,0.004,0.01,0.019,0.002,0.019,0.746,3.236,0.323,0.126,0.069,0.342,0.01,0.005,0.622,0.017,0.01
Chinam,20.99166667,72.88611111,0.013,0.002,0.03,0.015,0.002,0.019,0.552,2.909,0.379,0.112,0.05,0.328,0.006,0.003,0.579,0.018,0.01
Ubhrat,21.00833333,72.74583333,0.017,0.002,0.08,0.012,0.001,0.02,1.611,2.712,0.46,0.114,0.011,0.135,0.011,0.007,0.971,0.015,0.01
Amervel Nes,21.00888889,70.72583333,0.019,0.004,0.051,0.005,0.001,0.026,1.607,1.613,0.301,0.105,0.041,0.376,0.012,0.006,0.547,0.051,0.01
Parjan,21.01111111,72.83916667,0.016,0.003,0.013,0.009,0.001,0.021,1.593,1.046,0.468,0.161,0.036,0.294,0.013,0.006,0.851,0.066,0.01
Victor,21.0125,71.54166667,0.008,0.005,0.01,0.02,0.001,0.025,1.424,4.832,0.152,0.126,0.013,0.275,0.012,0.004,1,0.01,0.01
Karanjvel,21.01277778,73.45805556,0.006,0.001,0.059,0.007,0.001,0.018,0.926,2.345,0.176,0.184,0.042,0.138,0.005,0.007,0.616,0.036,0.01
Trakuda,21.01666667,71.28055556,0.008,0.002,0.024,0.017,0.002,0.011,1.209,3.858,0.127,0.085,0.064,0.349,0.009,0.006,0.661,0.054,0.01
Mahuva2,21.02083333,73.14583333,0.013,0.003,0.064,0.016,0.002,0.027,0.904,2.229,0.123,0.169,0.019,0.275,0.016,0.004,0.53,0.054,0.01
Jambur[madhapar,21.02916667,70.60833333,0.01,0.003,0.059,0.011,0.001,0.011,1.885,4.133,0.139,0.144,0.042,0.313,0.016,0.007,0.689,0.035,0.01
Kanek,21.03055556,70.24166667,0.016,0.004,0.01,0.011,0.001,0.02,0.69,3.202,0.355,0.086,0.029,0.238,0.007,0.006,0.798,0.017,0.01
Chorwad,21.04166667,70.21666667,0.006,0.001,0.012,0.005,0.001,0.026,0.636,3.585,0.478,0.146,0.033,0.371,0.006,0.007,0.93,0.032,0.01
Kelkui,21.04194444,73.32333333,0.013,0.005,0.071,0.007,0.001,0.019,1.933,3.209,0.312,0.121,0.01,0.109,0.006,0.005,0.507,0.018,0.01
Khambalia1,21.04444444,70.19166667,0.008,0.005,0.065,0.019,0.001,0.013,1.611,3.05,0.233,0.055,0.06,0.342,0.02,0.002,0.663,0.024,0.01
Ankolvadi 1,21.04694444,70.66472222,0.015,0.003,0.062,0.014,0.002,0.014,1.845,3.755,0.182,0.194,0.042,0.13,0.007,0.004,0.688,0.026,0.01
Ankolvadi,21.04722222,70.65833333,0.015,0.002,0.05,0.015,0.001,0.014,0.959,4.974,0.272,0.176,0.044,0.259,0.015,0.005,0.568,0.034,0.01
Valod,21.05,73.26666667,0.01,0.002,0.068,0.014,0.001,0.015,1.865,3.37,0.363,0.162,0.012,0.356,0.014,0.005,0.624,0.039,0.01
Talala1,21.05138889,70.525,0.018,0.005,0.071,0.017,0.001,0.027,1.949,1.579,0.211,0.154,0.052,0.221,0.01,0.005,0.679,0.053,0.01
Kukaswada,21.05416667,70.20833333,0.011,0.005,0.048,0.014,0.002,0.012,1.334,4.598,0.301,0.145,0.025,0.227,0.016,0.004,0.802,0.068,0.01
Sarbhon,21.05833333,73.09166667,0.017,0.002,0.028,0.006,0.002,0.021,0.554,1.015,0.296,0.128,0.031,0.223,0.017,0.005,0.576,0.05,0.01
Allu,21.0625,73.19166667,0.019,0.005,0.052,0.009,0.001,0.021,1.199,4.477,0.199,0.179,0.06,0.279,0.012,0.002,0.691,0.01,0.01
Khorada1,21.06388889,70.17361111,0.009,0.001,0.019,0.017,0.001,0.02,0.617,4.927,0.16,0.176,0.027,0.249,0.013,0.007,0.766,0.067,0.01
Palsana,21.07777778,72.99166667,0.018,0.002,0.012,0.015,0.001,0.024,1.595,2.866,0.342,0.139,0.059,0.337,0.015,0.002,0.707,0.032,0.01
Arena,21.08055556,70.17638889,0.019,0.001,0.026,0.007,0.001,0.01,1.202,1.872,0.452,0.173,0.053,0.278,0.013,0.002,0.535,0.038,0.01
Mahuva,21.08333333,71.75833333,0.015,0.002,0.014,0.015,0.001,0.013,0.832,3.569,0.176,0.18,0.058,0.353,0.006,0.005,0.671,0.051,0.01
Sultanabad,21.09166667,72.725,0.015,0.005,0.063,0.015,0.002,0.014,0.838,3.924,0.181,0.126,0.021,0.399,0.011,0.005,0.569,0.056,0.01
Sachin town,21.09166667,72.875,0.018,0.005,0.075,0.013,0.002,0.029,1.366,4.452,0.425,0.163,0.015,0.159,0.017,0.006,0.629,0.061,0.01
Budhecha,21.09583333,70.21666667,0.011,0.001,0.069,0.005,0.001,0.017,1.947,2.075,0.458,0.193,0.035,0.248,0.01,0.005,0.703,0.041,0.01
Mahuva1,21.09583333,71.76666667,0.016,0.004,0.037,0.01,0.002,0.016,1.927,2.595,0.242,0.068,0.033,0.391,0.018,0.005,0.568,0.016,0.01
Mandal,21.1,71.58333333,0.008,0.001,0.066,0.011,0.001,0.02,0.933,2.745,0.107,0.195,0.018,0.347,0.012,0.007,0.875,0.027,0.01
Shardagram,21.10416667,70.15277778,0.008,0.003,0.017,0.013,0.001,0.023,1.053,3.975,0.179,0.186,0.064,0.262,0.017,0.006,0.578,0.064,0.01
Bhavardi1,21.10833333,71.25833333,0.016,0.004,0.011,0.013,0.001,0.028,1.286,2.315,0.418,0.057,0.048,0.192,0.019,0.006,0.762,0.044,0.01
Vyara1,21.10833333,73.39583333,0.012,0.002,0.029,0.017,0.001,0.019,0.573,4.124,0.193,0.178,0.056,0.237,0.012,0.005,0.686,0.062,0.01
Jiav,21.110639,72.837889,0.007,0.002,0.066,0.006,0.001,0.025,1.082,3.319,0.103,0.189,0.051,0.248,0.008,0.002,0.861,0.033,0.01
Sepa,21.11666667,70.21944444,0.009,0.002,0.062,0.01,0.001,0.025,1.995,2.81,0.296,0.132,0.054,0.128,0.014,0.003,0.985,0.024,0.01
Ten-bardoli,21.11666667,73.1,0.005,0.004,0.064,0.017,0.001,0.015,1.974,4.732,0.351,0.199,0.017,0.332,0.008,0.002,0.507,0.03,0.01
Gangadhra,21.11861111,73.07527778,0.018,0.004,0.016,0.011,0.001,0.027,1.038,3.109,0.49,0.127,0.024,0.311,0.01,0.005,0.552,0.012,0.01
Mangrol1,21.13055556,70.11944444,0.016,0.005,0.06,0.016,0.001,0.026,0.756,3.829,0.34,0.112,0.064,0.109,0.011,0.006,0.824,0.048,0.01
Seriakhan,21.13333333,70.24861111,0.016,0.002,0.018,0.007,0.001,0.015,0.618,2.569,0.22,0.097,0.041,0.181,0.016,0.004,0.994,0.028,0.01
Madhi 1,21.13361111,73.24861111,0.005,0.003,0.042,0.014,0.001,0.011,0.756,3.977,0.152,0.161,0.027,0.321,0.008,0.006,0.694,0.056,0.01
Dudhala,21.1375,71.65833333,0.016,0.003,0.027,0.012,0.002,0.016,1.012,1.115,0.472,0.084,0.04,0.384,0.013,0.006,0.771,0.02,0.01
